Team,Player,x,y,xG,Distance,Outcome,Body Part,Shot Type
Swansea City,Gylfi Þór Sigurðsson,100.1,21.1,0.012535366,27.44485379811669,Blocked,Right Foot,Free Kick
Swansea City,Jonjo Shelvey,109.2,38.5,0.046689555,10.903669107231746,Off T,Head,Open Play
Arsenal,Joel Nathaniel Campbell Samuels,95.4,43.4,0.04595543,24.833847869389867,Saved,Left Foot,Open Play
Swansea City,Gylfi Þór Sigurðsson,91.3,32.7,0.022285765,29.61384811198977,Blocked,Right Foot,Open Play
Arsenal,Olivier Giroud,113.0,40.5,0.12239959,7.0178344238090995,Goal,Head,Open Play
Swansea City,Gylfi Þór Sigurðsson,97.5,32.1,0.055132754,23.846593048064538,Saved,Left Foot,Open Play
Swansea City,Gylfi Þór Sigurðsson,99.5,50.8,0.04358182,23.170886905770352,Blocked,Right Foot,Open Play
Arsenal,Alexis Alejandro Sánchez Sánchez,101.9,27.0,0.031992633,22.284748147555984,Off T,Right Foot,Open Play
Arsenal,Laurent Koscielny,112.4,42.5,0.08546485,8.000624975587838,Wayward,Head,Open Play
Arsenal,Alexis Alejandro Sánchez Sánchez,114.4,30.5,0.10511785,11.027692415006864,Off T,Head,Open Play
Arsenal,Laurent Koscielny,113.9,43.3,0.6125727,6.935416353759874,Goal,Right Foot,Open Play
Arsenal,Joel Nathaniel Campbell Samuels,112.8,49.0,0.21403745,11.52562362737913,Goal,Left Foot,Open Play
Swansea City,Ashley Williams,100.1,25.0,0.031951834,24.92007223103497,Saved,Left Foot,Open Play
Arsenal,Joel Nathaniel Campbell Samuels,100.8,23.8,0.028054954,25.12130569854999,Off T,Left Foot,Open Play
Arsenal,Alexis Alejandro Sánchez Sánchez,111.8,55.1,0.0393697,17.182840277439585,Blocked,Right Foot,Open Play
Arsenal,Mesut Özil,108.7,51.8,0.060334682,16.337992532744035,Saved,Left Foot,Open Play
Sunderland,Fabio Borini,102.0,50.8,0.13590072,20.99142682144308,Saved,Right Foot,Open Play
Arsenal,Aaron Ramsey,95.5,35.5,0.03983675,24.9098374141623,Off T,Right Foot,Open Play
Sunderland,Duncan Watmore,113.9,41.9,0.1528157,6.389053137985309,Off T,Head,Open Play
Sunderland,Yann Gérard M'Vila,89.3,48.9,0.02001482,31.964042297556798,Off T,Right Foot,Open Play
Arsenal,Aaron Ramsey,92.9,41.8,0.025886346,27.15971281144187,Blocked,Right Foot,Open Play
Sunderland,Fabio Borini,109.3,36.0,0.05504455,11.423221962301183,Off T,Head,Open Play
Arsenal,Joel Nathaniel Campbell Samuels,107.0,27.1,0.14589794,18.31420213932346,Goal,Left Foot,Open Play
Arsenal,Aaron Ramsey,108.8,33.4,0.24243128,13.000000000000004,Off T,Right Foot,Open Play
Sunderland,DeAndre Yedlin,88.0,45.3,0.018658962,32.43593686021725,Wayward,Right Foot,Open Play
Arsenal,Alex Oxlade-Chamberlain,91.5,36.0,0.029070292,28.77933286231632,Blocked,Right Foot,Open Play
Arsenal,Aaron Ramsey,102.7,25.5,0.012476251,22.572992712531494,Blocked,Right Foot,Open Play
Sunderland,Steven Fletcher,92.2,50.5,0.019865463,29.71683024819437,Saved,Left Foot,Open Play
Sunderland,Steven Fletcher,116.8,35.1,0.22859909,5.852349955359813,Saved,Left Foot,Open Play
Arsenal,Mesut Özil,99.5,23.0,0.024718713,26.63174797117155,Off T,Left Foot,Open Play
Arsenal,Olivier Giroud,108.8,34.3,0.11984975,12.56702033100926,Goal,Head,Open Play
Arsenal,Theo Walcott,108.0,25.5,0.030138908,18.82153022471871,Wayward,Right Foot,Open Play
Arsenal,Héctor Bellerín Moruno,108.9,52.8,0.045087036,16.942549985170466,Blocked,Right Foot,Open Play
Arsenal,Olivier Giroud,114.0,46.2,0.07143857,8.627861844049198,Blocked,Head,Open Play
